year,occ_desc,sex1,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2021,marketing and sales executive (food & beverage services),all,2936,2300
2021,online sales channel executive,all,3796,3464
2021,merchandising/category executive,all,3500,3259
2021,buyer and purchasing agent,all,3928,3703
2021,clearing and forwarding agent,all,3760,3420
2021,shipping agent/boarding officer,all,3990,3750
2021,exhibition/conference/event planner (including wedding planner/coordinator),all,3640,3530
2021,real estate agent,all,4271,3940
2021,logistics and maintenance planner,all,4284,3959
2021,management executive,all,4285,4090
2021,operations officer (except transport operations),all,4052,3800
2021,transport equipment project executive,all,3421,3292
2021,legal associate professional (e.g. paralegal),all,7333,7102
2021,social work associate,all,2960,2699
2021,sports coach,all,4500,3980
2021,interior designer,all,4000,4000
2021,visual merchandiser,all,3078,2800
2021,chef,all,3601,3419
2021,computer systems operator,all,3775,3500
2021,it infrastructure technician,all,3749,3492
2021,it support technician (including it user helpdesk technician),all,2893,2742
2021,broadcasting technician and audio-visual operator,all,2864,2702
2021,pre-primary education teacher,all,2821,2781
2021,language instructor (extracurriculum),all,2740,2740
2021,music instructor (extracurriculum),all,2400,2229
2021,private tutor (academic),all,4750,4350
2021,office supervisor,all,3325,2853
2021,general office clerk,all,2500,2400
2021,secretary,all,4586,4500
2021,data entry clerk,all,2072,1842
2021,bank teller and other counter clerk,all,3142,2489
2021,bank teller,all,3489,2947
2021,travel consultant/reservation executive,all,2644,2610
2021,telephone operator,all,2593,2475
2021,"receptionist, customer service and information clerk",all,2842,2620
2021,accounting and bookkeeping clerk,all,2981,2840
2021,finance and insurance clerk,all,3792,3520
2021,stock clerk,all,2539,2300
2021,production clerk,all,2965,2635
2021,transport clerk,all,3262,2822
2021,library clerk,all,1666,1528
2021,mail carrier and sorting worker,all,2409,1985
2021,postal service supervisor,all,3135,2764
2021,legal clerk,all,4450,4300
2021,transport service inspector and related worker,all,3396,2348
2021,cook (e.g. commis cook 2/3),all,1700,1537
2021,"senior cook (e.g. station chef, commis cook 1, station cook)",all,2711,2487
2021,captain waiter/waiter supervisor,all,2384,2050
2021,waiter,all,1400,1400
2021,barista,all,1554,1459
2021,hair stylist/hairdresser,all,2431,1692
2021,beautician,all,2048,1772
2021,manicurist,all,2000,1500
2021,masseur (non-medical) (including foot reflexologist),all,2304,1806
2021,housekeeper and related worker,all,1842,1592
2021,"pet groomer, animal keeper and trainer",all,2302,2137
2021,driving instructor/tester,all,3184,2748
2021,sales supervisor,all,3000,2448
2021,shop sales assistant,all,2000,1675
2021,cashier,all,1775,1598
2021,sales demonstrator,all,2424,1738
2021,salesperson (door-to-door),all,1641,1641
2021,petrol station attendant,all,1756,1608
2021,food service counter attendant,all,1743,1400
2021,child care and related worker,all,2020,2000
2021,teacher aide,all,2829,2800
2021,healthcare assistant (e.g. therapy aide/assistant),all,1980,1935
2021,nursing aide/assistant,all,2440,2200
2021,senior security supervisor,all,3418,2838
2021,security supervisor,all,3020,2140
2021,senior private security officer,all,2737,1650
2021,private security officer,all,2388,1500
2021,gardener and horticultural worker,all,1500,1450
2021,supervisor/general foreman (building and related trades),all,3295,3000
2021,plumber,all,1925,1800
2021,pipe fitter,all,1400,1400
2021,air-conditioning/refrigeration equipment mechanic,all,2676,2420
2021,"spray painter, varnisher and other painter",all,1842,1842
2021,building maintenance worker,all,2195,2023
2021,"supervisor/general foreman (metal, machinery and related trades)",all,3695,3000
2021,welder and flame cutter,all,2620,2170
2021,automotive mechanic,all,3825,2646
2021,machinery mechanic,all,2370,2055
2021,"supervisor/general foreman (precision, handicraft, printing and related trades)",all,3894,3500
2021,medical device assembler/repairer,all,2957,1944
2021,lift supervisor,all,4610,3252
2021,"supervisor/general foreman (electrical and electronic trades, excluding lift)",all,3950,3080
2021,electrician,all,2557,2384
2021,electrical mechanic and fitter,all,2896,2148
2021,"supervisor/general foreman (food processing, woodworking, garment, leather and related trades)",all,3007,2734
2021,"baker, pastry and confectionery maker",all,1800,1555
2021,fumigator and other pest and weed controller,all,1941,1700
2021,stationary plant and machine supervisor/general foreman,all,3112,2412
2021,machine-tool setter-operator,all,2560,1866
2021,pharmaceutical products machine operator,all,2646,2024
2021,plastic products machine operator,all,1500,1300
2021,"laundry and dry cleaning worker (machine, non-household)",all,1726,1415
2021,food and related products machine operator,all,1550,1465
2021,packing/bottling/labelling machine operator,all,1424,1424
2021,"printing, binding and related machine operator",all,1676,1574
2021,supervisor/general foreman of assembler and quality checker,all,3330,3000
2021,mechanical equipment/component assembler,all,1653,1122
2021,electrical and electronic equipment assembler,all,2273,1759
2021,quality checker and tester,all,2487,2033
2021,motorcycle delivery man,all,2345,2129
2021,delivery man using motorised personal mobility aids/devices,all,1800,1800
2021,"car, taxi, van and light goods vehicle driver",all,2200,1944
2021,chauffeur,all,2602,2395
2021,van driver,all,2146,1950
2021,bus driver,all,4001,2488
2021,lorry driver,all,2400,2000
2021,trailer-truck driver (including prime mover driver),all,3051,2022
2021,waste truck driver (including hooklift trucks with roll-on containers),all,3334,1900
2021,crane/hoist operator (excluding port),all,5270,2800
2021,crane operator (on-site),all,3910,2572
